,Farm0001,Farm0002,Farm0003,Farm0004,Farm0005,Farm0006,Farm0007,Farm0008,Farm0009,Farm0010,Farm0011,Farm0012,Farm0013,Farm0014,Farm0015,Farm0016,Farm0017,Farm0018,Farm0019,Farm0020,Farm0021,Farm0022,Farm0023,Farm0024,Farm0025,Farm0026,Farm0027,Farm0028,Farm0029,Farm0030,Farm0031,Farm0032,Farm0033,Farm0034,Farm0035,Farm0036,Farm0037,Farm0038,Farm0039,Farm0040,Farm0041,Farm0042,Farm0043,Farm0044,Farm0045,Farm0046,Farm0047,Farm0048,Farm0049,Farm0050,Farm0051,Farm0052,Farm0053,Farm0054,Farm0055,Farm0056,Farm0057,Farm0058,Farm0059,Farm0060,Farm0061,Farm0062,Farm0063,Farm0064,Farm0065,Farm0066,Farm0067,Farm0068,Farm0069,Farm0070,Farm0071,Farm0072,Farm0073,Farm0074,Farm0075,Farm0076,Farm0077,Farm0078,Farm0079,Farm0080,Farm0081,Farm0082,Farm0083,Farm0084,Farm0085,Farm0086,Farm0087,Farm0088,Farm0089,Farm0090,Farm0091,Farm0092,Farm0093,Farm0094,Farm0095,Farm0096,Farm0097,Farm0098,Farm0099,Farm0100,Farm0101,Farm0102,Farm0103,Farm0104,Farm0105,Farm0106,Farm0107,Farm0108,Farm0109,Farm0110,Farm0111,Farm0112,Farm0113,Farm0114,Farm0115,Farm0116,Farm0117,Farm0118,Farm0119,Farm0120,Farm0121,Farm0122,Farm0123,Farm0124,Farm0125,Farm0126,Farm0127,Farm0128,Farm0129,Farm0130,Farm0131,Farm0132,Farm0133,Farm0134,Farm0135,Farm0136,Farm0137,Farm0138,Farm0139,Farm0140,Farm0141,Farm0142,Farm0143,Farm0144,Farm0145,Farm0146,Farm0147,Farm0148,Farm0149,Farm0150,Farm0151,Farm0152,Farm0153,Farm0154,Farm0155,Farm0156,Farm0157,Farm0158,Farm0159,Farm0160,Farm0161,Farm0162,Farm0163,Farm0164,Farm0165,Farm0166,Farm0167,Farm0168,Farm0169,Farm0170,Farm0171,Farm0172,Farm0173,Farm0174,Farm0175,Farm0176,Farm0177,Farm0178,Farm0179,Farm0180,Farm0181,Farm0182,Farm0183,Farm0184,Farm0185,Farm0186,Farm0187,Farm0188,Farm0189,Farm0190,Farm0191,Farm0192,Farm0193,Farm0194,Farm0195,Farm0196,Farm0197,Farm0198,Farm0199,Farm0200,Farm0201,Farm0202,Farm0203,Farm0204,Farm0205,Farm0206,Farm0207,Farm0208,Farm0209,Farm0210,Farm0211,Farm0212,Farm0213,Farm0214
Farm0085,15,16,22,20,22,6,22,26,22,21,17,20,7,24,22,4,24,10,22,21,21,22,24,20,7,21,16,10,7,12,6,21,6,8,8,10,12,22,8,6,22,26,20,19,22,24,8,20,16,4,6,20,22,18,14,5,10,26,24,8,23,12,24,12,10,30,5,8,20,4,6,21,28,28,22,8,5,9,10,22,29,23,4,4,,9,25,8,20,18,26,26,28,8,28,6,26,30,12,8,27,6,8,6,18,4,24,34,26,26,28,26,10,12,9,8,8,12,9,31,6,27,8,6,36,4,9,6,25,30,24,34,24,28,25,8,30,3,10,9,32,28,30,33,31,26,8,7,10,28,28,26,15,14,134,10,30,10,12,11,27,32,25,28,6,28,9,8,8,28,6,7,8,8,27,28,31,11,6,32,24,15,12,27,36,26,32,14,13,8,27,34,28,32,8,10,29,6,10,11,34,38,19,15,21,10,25,28,12,16,10,37,36,19
Farm0086,17,16,23,20,24,7,24,25,22,24,18,21,8,24,22,6,26,10,23,22,24,24,24,22,6,22,18,11,6,14,8,23,7,9,9,12,12,23,8,7,22,26,21,20,22,24,6,18,18,5,6,22,21,18,15,6,12,26,25,10,24,13,26,13,10,30,6,9,21,7,8,23,30,30,22,10,6,10,11,24,30,24,6,7,9,,26,8,20,22,25,26,30,8,28,8,26,30,14,8,28,7,7,9,21,7,26,34,28,27,30,28,10,12,10,10,10,14,10,32,10,27,12,8,37,8,8,8,26,31,25,34,26,26,26,10,32,8,14,11,32,30,30,34,32,26,8,8,11,29,29,27,14,16,133,12,31,10,14,13,29,31,27,30,12,29,10,10,9,27,8,9,10,10,29,30,32,14,11,35,26,15,14,27,37,26,33,16,14,10,29,35,30,33,10,10,30,10,12,14,34,40,21,16,24,14,28,31,18,16,10,36,38,21
Farm0087,9,10,14,10,15,19,14,18,13,16,9,12,20,16,3,20,16,22,16,14,14,16,17,10,22,12,12,22,22,25,20,14,22,22,22,24,24,14,24,20,16,8,14,14,15,16,22,12,13,20,22,13,12,12,26,22,22,17,4,22,16,25,18,25,22,10,20,21,16,22,24,16,22,9,14,22,20,22,23,16,22,16,24,22,25,26,,25,14,13,18,18,20,22,18,24,20,10,28,22,19,23,22,24,14,22,20,26,20,19,21,20,22,26,26,27,25,28,22,22,25,20,27,23,28,25,26,25,18,23,19,26,20,8,20,26,12,25,30,24,24,22,22,26,24,20,24,24,28,21,24,18,32,32,150,26,12,24,28,29,20,24,22,22,28,21,26,26,24,20,25,24,26,27,23,22,12,26,26,26,20,30,27,18,30,18,14,32,28,25,22,28,22,26,25,28,23,26,27,28,14,32,36,32,38,26,18,20,35,34,27,32,30,38
Farm0088,16,15,22,19,23,6,22,24,22,22,18,20,7,22,22,4,24,9,22,20,22,22,22,20,6,22,16,10,5,12,5,24,6,7,8,10,10,22,8,6,22,26,20,19,22,22,6,19,18,4,6,19,20,18,12,6,10,26,24,10,22,12,24,12,10,29,5,6,21,6,8,22,29,28,22,10,6,9,10,22,29,24,6,7,8,8,25,,19,20,24,26,29,8,28,7,26,28,14,8,27,6,7,8,20,6,25,34,26,26,28,26,8,12,9,8,7,12,10,32,9,26,10,8,36,6,8,9,25,30,25,32,24,27,25,9,30,8,12,10,31,29,30,32,30,25,6,6,10,28,28,26,14,14,132,12,30,10,12,10,28,31,24,29,11,27,8,8,6,28,8,10,10,8,28,28,32,11,9,34,24,16,12,26,36,26,32,16,12,11,28,35,28,32,9,10,30,9,10,14,33,38,20,15,22,12,26,28,19,16,10,36,38,20
Farm0089,5,6,12,8,11,12,11,14,12,12,8,8,14,12,12,14,12,16,12,10,11,12,12,9,15,10,3,18,14,18,14,10,16,16,16,17,18,10,16,15,11,14,6,4,11,12,14,4,2,15,18,10,10,3,20,16,17,12,14,16,12,19,14,20,18,18,13,14,6,16,18,7,18,16,10,16,16,16,18,12,18,12,16,18,20,20,14,19,,10,14,16,18,16,16,17,11,18,22,15,15,18,16,18,4,17,10,23,12,15,18,16,16,20,20,20,18,20,16,20,18,14,21,18,24,18,19,18,14,19,15,22,10,16,10,20,20,19,22,18,20,18,18,21,20,10,18,18,21,18,14,14,26,24,143,20,19,19,24,22,18,20,10,18,22,18,19,20,20,15,20,18,22,20,14,18,20,18,20,23,10,24,22,14,24,14,22,26,22,19,16,24,16,20,20,20,18,20,20,24,22,26,29,26,34,20,15,16,30,27,21,26,26,32
Farm0090,4,4,10,7,10,14,10,13,10,10,6,1,14,10,10,14,12,18,10,8,11,11,12,8,16,8,6,18,16,20,16,10,16,16,17,18,20,10,18,16,2,14,10,9,10,2,16,10,8,16,18,8,1,8,22,17,18,13,12,16,2,20,4,20,18,16,15,16,10,17,19,12,8,17,1,18,18,17,18,2,16,4,18,18,18,22,13,20,10,,13,14,16,18,15,18,14,18,23,18,6,19,18,20,9,18,14,14,16,14,17,5,18,22,20,22,21,24,16,19,20,6,22,17,22,18,19,19,12,18,14,21,15,14,15,22,19,20,24,18,20,16,16,20,12,15,18,20,22,8,20,6,26,25,144,20,17,20,26,24,17,19,17,16,22,16,21,20,20,14,20,19,22,21,18,15,18,20,20,20,16,26,22,5,24,6,20,28,22,20,7,22,8,20,22,22,16,22,22,24,22,26,31,26,33,24,14,16,30,28,22,26,26,33
Farm0091,10,8,16,12,16,18,15,18,16,14,10,14,20,16,15,20,17,22,16,5,14,15,16,12,22,14,12,24,22,25,20,15,20,22,22,24,24,16,22,22,15,20,14,14,14,16,22,12,13,22,23,12,12,13,26,21,24,0,18,22,15,24,18,24,22,22,20,20,15,22,24,18,22,22,16,22,22,23,24,15,22,16,22,23,26,25,18,24,14,13,,18,21,22,20,24,20,22,28,22,20,24,22,26,14,22,20,28,20,2,4,19,22,25,26,27,24,30,22,24,25,20,26,24,28,24,26,26,0,6,0,8,20,21,20,26,24,24,29,25,24,4,22,26,24,20,24,25,28,20,25,18,32,32,150,26,23,24,31,27,4,6,20,22,28,4,26,25,25,3,25,24,27,26,24,21,23,25,26,25,20,30,28,20,29,18,26,33,28,26,20,28,22,8,25,28,22,26,26,30,25,32,34,32,40,26,20,20,35,33,26,30,30,38
Farm0092,10,10,16,12,4,20,16,14,16,6,11,16,22,4,16,22,18,23,6,15,16,6,18,14,22,15,12,24,22,26,21,15,22,22,23,24,24,4,24,22,16,20,15,15,6,16,23,12,14,22,23,14,13,16,26,22,25,20,18,23,17,27,19,26,23,23,21,22,17,24,26,18,24,24,16,22,22,22,24,17,11,17,24,22,26,26,18,26,16,14,18,,22,23,21,25,21,22,30,23,20,24,22,26,16,24,20,28,23,20,23,20,22,28,28,28,26,30,22,24,26,20,27,26,18,26,26,26,20,24,20,28,22,21,20,28,25,26,29,24,13,24,10,15,24,22,26,26,29,22,26,20,32,32,151,28,24,26,31,30,22,24,23,2,29,23,28,27,26,22,26,25,28,27,23,10,25,26,26,15,22,30,28,20,19,20,26,33,28,26,23,16,23,26,27,27,23,28,29,30,28,20,38,34,41,28,20,22,36,34,29,20,20,38
Farm0093,12,12,16,11,18,22,18,21,16,18,12,16,22,20,16,23,20,24,19,17,18,18,19,12,23,14,14,26,23,29,24,18,24,24,26,27,26,18,26,25,18,20,18,16,18,18,24,17,15,24,26,16,16,16,28,24,26,20,18,26,20,28,22,28,26,24,24,25,18,26,27,20,26,22,18,24,25,26,26,18,26,20,25,26,28,30,20,29,18,16,21,22,,24,21,27,21,22,32,26,21,27,26,28,16,26,23,30,24,22,25,22,25,29,30,30,28,31,26,3,28,22,30,28,31,28,28,28,22,25,24,28,22,22,24,29,24,28,32,26,26,25,26,30,28,23,28,26,30,24,26,22,34,33,154,29,26,28,32,32,24,28,24,26,32,24,29,28,27,23,29,27,30,29,26,25,25,29,30,28,24,33,30,22,31,22,26,35,32,28,24,30,25,27,28,30,25,30,31,32,28,34,38,35,42,30,23,24,38,36,30,34,32,40
Farm0094,13,14,18,16,18,2,20,22,18,19,16,16,4,18,20,3,20,7,18,18,20,20,20,17,2,18,14,8,2,10,3,19,2,5,6,6,8,20,5,3,18,24,17,16,19,20,4,16,16,3,6,17,18,16,10,4,6,24,20,7,19,10,22,9,6,26,2,4,17,4,6,18,26,26,19,6,4,6,8,18,26,20,4,5,8,8,22,8,16,18,22,23,24,,24,6,22,27,9,4,22,6,4,8,16,5,22,30,24,22,26,24,6,9,8,7,8,10,6,28,9,23,9,6,32,6,7,7,23,28,20,30,23,24,22,8,28,6,10,6,28,26,26,30,28,22,6,6,8,26,26,23,14,12,132,8,26,4,12,10,26,28,23,26,10,25,8,6,6,25,6,8,8,8,25,24,28,8,6,30,22,12,10,24,34,23,29,14,10,10,26,30,26,28,8,9,26,9,10,12,30,34,18,14,21,10,23,26,17,16,10,32,34,18
Farm0095,10,12,11,12,16,20,16,20,12,17,10,16,22,18,15,22,19,25,18,15,18,17,20,12,24,14,14,24,23,28,22,17,22,24,24,26,26,18,25,22,16,20,16,16,17,18,25,16,16,24,26,14,14,16,28,23,25,22,18,22,17,28,20,28,24,22,22,24,17,24,26,18,24,21,18,26,25,24,24,16,24,18,24,25,28,28,18,28,16,15,20,21,21,24,,26,21,21,30,24,21,26,24,27,16,24,22,30,23,20,24,20,24,28,29,28,28,31,24,24,28,21,28,26,30,26,28,26,20,26,22,28,22,20,21,27,24,26,31,26,26,25,25,28,26,22,25,26,28,22,26,21,34,33,152,28,24,27,32,30,24,24,23,24,30,22,28,28,26,22,27,25,28,28,25,24,24,27,28,28,21,32,30,21,30,20,25,34,29,26,22,28,24,28,28,28,24,27,29,32,26,32,37,34,42,30,21,22,38,36,30,32,32,38
Farm0096,16,16,22,19,21,5,22,24,20,20,16,19,6,22,20,4,24,8,20,20,20,21,24,19,4,20,16,9,6,10,4,20,6,7,6,8,10,21,6,6,20,24,19,18,21,21,6,16,17,4,5,19,18,17,12,6,9,23,22,8,23,12,24,12,10,28,4,6,19,5,6,22,28,28,21,6,4,7,9,22,27,21,4,4,6,8,24,7,17,18,24,25,27,6,26,,24,28,12,4,26,6,6,6,18,5,24,34,26,26,28,24,8,10,8,8,7,10,6,30,8,24,8,6,34,6,8,8,24,29,24,32,23,26,24,7,30,6,7,8,30,29,28,32,30,23,7,3,4,27,27,24,9,13,128,11,30,9,14,12,26,30,26,27,10,27,4,4,7,25,8,8,10,8,28,28,30,10,8,33,23,14,12,25,36,24,30,11,11,9,26,34,28,32,8,4,28,8,4,12,32,38,13,10,18,10,24,27,18,11,6,35,36,14
Farm0097,10,11,18,14,16,20,17,20,18,17,12,14,20,17,18,20,18,22,17,16,16,18,19,14,20,15,8,22,21,25,20,18,21,21,21,24,24,17,22,22,16,22,11,10,18,18,22,10,9,21,24,15,16,10,26,22,23,20,20,22,18,24,20,26,22,24,19,21,12,23,24,5,24,24,16,22,22,22,22,18,23,17,22,23,26,26,20,26,11,14,20,21,21,22,21,24,,24,28,22,22,24,22,24,10,24,8,28,5,20,24,22,22,26,27,26,25,25,22,22,24,21,28,25,30,24,24,26,20,25,22,27,4,21,4,26,27,26,30,24,26,24,24,28,26,4,24,24,28,22,8,21,30,31,149,26,24,25,30,30,23,26,9,22,26,24,26,24,24,22,26,24,27,26,7,23,26,26,26,28,4,30,27,21,32,20,27,32,28,26,24,30,24,26,26,28,24,26,28,31,28,33,36,32,39,26,20,24,35,34,27,34,32,36
Farm0098,13,14,18,12,18,23,18,22,17,20,13,17,24,20,6,25,22,26,19,18,19,20,20,16,26,16,16,28,25,28,24,16,26,26,26,26,28,19,26,26,18,3,18,18,19,20,26,18,18,26,26,18,16,18,30,25,26,21,9,27,20,30,22,28,28,15,24,25,19,26,28,21,26,6,18,26,27,27,27,20,26,20,26,28,30,30,10,28,18,18,22,22,22,27,21,28,24,,32,26,23,28,26,30,18,26,24,31,26,24,26,24,26,31,30,30,28,32,26,26,28,23,31,28,32,28,30,30,22,26,22,30,24,6,24,30,16,29,32,28,27,26,26,30,28,24,29,28,31,24,28,23,36,36,154,30,16,28,34,33,26,28,25,26,32,26,30,29,30,24,28,27,30,30,28,26,10,28,30,30,24,34,32,24,33,24,18,35,32,29,26,32,26,28,30,32,26,30,30,34,18,35,40,36,42,32,22,24,39,37,30,35,34,40
Farm0099,19,20,26,23,24,10,25,28,24,25,21,22,10,26,26,8,27,12,24,24,24,26,28,22,8,24,20,13,9,15,9,25,10,12,11,12,14,24,10,10,25,28,24,22,24,26,9,22,20,10,10,23,23,22,16,8,13,28,27,12,26,15,29,15,13,31,7,12,23,11,12,25,32,32,25,12,11,12,13,24,32,26,10,11,12,14,28,14,22,23,28,30,32,9,30,12,28,32,,11,28,12,10,12,22,10,28,36,30,28,32,30,12,12,15,15,12,16,11,33,14,30,14,12,38,12,12,12,28,33,28,36,28,30,28,13,33,14,16,10,34,32,32,35,34,28,12,12,16,32,32,29,18,18,138,14,32,14,18,17,31,33,29,32,18,32,14,12,13,30,13,12,16,13,30,31,34,15,15,35,27,17,16,28,39,30,36,21,16,14,32,38,33,34,14,15,32,14,15,18,36,40,23,20,28,16,30,30,23,20,16,38,41,24
Farm0100,12,14,20,16,18,3,19,22,18,19,14,16,4,20,18,2,20,6,20,18,19,18,21,17,3,18,14,6,2,10,4,19,4,5,1,8,8,19,4,4,20,22,17,16,18,21,2,16,14,4,6,17,16,14,10,3,6,22,20,6,20,9,22,10,8,27,2,4,16,4,6,19,26,25,20,5,4,6,7,19,26,20,4,5,8,8,22,8,15,18,22,23,26,4,24,4,22,26,11,,23,4,4,8,17,6,22,32,23,23,26,24,6,8,8,8,6,10,2,28,8,24,8,6,33,6,8,8,22,28,21,29,22,24,22,8,28,8,10,6,28,26,26,30,27,23,7,5,9,25,27,24,13,14,132,8,26,8,11,10,26,28,22,26,10,26,8,6,6,24,8,8,8,8,25,26,28,8,8,30,22,12,10,23,33,22,30,15,10,8,25,31,26,28,8,9,26,7,9,12,30,35,18,13,22,11,24,25,18,16,9,31,34,20
Farm0101,10,10,16,12,16,19,16,20,16,16,12,6,21,18,16,22,18,20,16,14,17,16,18,14,22,15,14,22,22,23,22,16,22,22,23,21,22,16,24,22,8,19,16,16,18,2,22,15,14,21,24,14,6,14,24,22,24,18,17,24,9,26,12,24,24,24,20,22,16,24,24,18,9,22,8,22,24,22,24,9,22,8,22,23,27,28,19,27,15,6,20,20,21,22,21,26,22,23,28,23,,26,23,26,14,24,21,14,23,20,24,11,24,27,28,28,26,29,24,24,26,12,28,25,30,24,26,26,20,24,20,26,21,22,22,26,25,26,30,24,26,23,24,27,18,22,26,24,28,2,25,1,32,33,147,28,24,26,31,30,22,24,22,24,28,22,27,26,26,21,26,24,28,28,24,21,26,26,28,28,20,32,28,0,31,0,26,33,29,26,2,28,4,26,26,28,23,28,28,31,28,32,38,34,40,26,20,22,36,36,28,32,31,38
Farm0102,16,16,22,17,22,4,20,24,22,20,17,18,6,22,20,4,24,8,22,19,20,22,24,18,4,20,16,10,4,11,6,22,5,7,6,10,11,20,6,6,21,24,18,18,21,22,6,18,16,2,5,19,19,18,11,4,8,24,22,8,22,12,23,12,10,28,6,6,19,4,3,20,28,28,21,8,4,8,8,21,28,22,4,4,6,7,23,6,18,19,24,24,27,6,26,6,24,28,12,4,26,,5,1,18,3,24,34,25,25,28,24,8,9,8,8,8,10,8,30,5,24,6,3,34,4,8,4,24,30,22,32,24,26,24,6,30,6,12,8,29,28,28,32,30,24,6,6,9,28,28,26,14,12,133,10,30,9,8,12,27,30,25,28,7,27,8,7,7,26,4,6,8,7,26,26,31,12,5,32,22,13,12,25,34,24,30,13,11,8,26,32,28,32,6,10,27,5,8,10,32,36,18,14,21,10,26,26,15,15,9,35,36,18
Farm0103,13,14,20,16,19,3,19,22,18,19,15,18,5,20,20,2,20,6,19,18,20,18,22,16,2,18,14,7,2,10,4,20,3,6,4,7,7,20,4,2,18,23,17,16,19,20,2,16,16,2,5,16,16,14,10,2,8,22,20,6,20,10,22,8,8,26,2,4,17,4,7,18,26,26,20,6,4,6,7,20,26,20,4,4,8,7,22,7,16,18,22,22,26,4,24,6,22,26,10,4,23,5,,8,16,6,22,32,23,23,26,23,6,8,8,8,6,10,5,28,6,24,9,6,32,5,8,8,22,27,20,30,22,24,22,8,28,8,11,6,28,26,26,30,28,22,6,6,9,24,26,23,13,13,133,8,28,8,11,12,25,28,22,26,10,24,8,8,6,26,8,8,8,8,24,24,28,9,8,30,21,12,10,23,33,22,29,14,10,10,24,31,26,30,8,9,26,8,8,12,30,35,18,14,20,11,23,25,17,15,8,34,34,18
Farm0104,16,16,22,20,22,6,21,25,22,22,19,20,8,22,22,4,23,9,21,21,22,22,24,18,6,20,17,10,6,12,6,22,7,8,8,9,11,21,8,8,22,26,20,20,22,24,8,18,18,4,6,20,20,19,12,8,10,26,24,9,23,12,26,11,10,28,5,8,20,3,5,22,29,28,21,10,5,9,10,22,28,23,6,4,6,9,24,8,18,20,26,26,28,8,27,6,24,30,12,8,26,1,8,,20,4,26,34,26,27,30,25,8,12,8,10,9,11,8,31,5,26,8,5,35,4,9,6,26,30,24,34,26,26,26,8,30,6,12,8,32,30,30,32,30,26,7,6,9,28,29,26,15,14,132,12,30,10,12,12,28,32,26,29,8,28,9,8,8,26,6,8,8,6,28,27,31,12,8,33,26,16,14,26,35,26,32,14,14,8,28,34,29,31,7,10,30,7,10,10,34,38,18,15,22,10,27,28,15,16,10,36,38,20
Farm0105,5,6,12,8,12,13,10,14,12,12,8,8,14,12,10,14,12,16,10,10,11,12,12,8,16,10,2,17,15,19,16,10,16,16,16,17,18,11,17,16,11,16,6,4,11,12,16,4,2,15,18,10,8,2,20,15,16,14,12,16,12,19,15,19,16,18,15,14,4,16,18,6,18,16,11,17,16,16,18,10,19,12,16,17,18,21,14,20,4,9,14,16,16,16,16,18,10,18,22,17,14,18,16,20,,16,10,23,11,14,18,16,16,20,20,20,20,20,17,20,20,15,22,18,24,19,20,19,14,19,16,22,10,16,10,20,20,19,23,18,20,18,18,22,20,10,18,19,20,16,14,16,25,24,143,20,18,19,24,22,16,20,12,17,22,18,20,20,20,18,19,18,20,20,12,16,20,20,20,22,10,24,22,16,24,15,22,26,22,20,16,22,19,20,20,20,18,20,22,24,22,27,29,27,33,20,16,17,28,26,22,26,26,30
Farm0106,14,14,20,16,20,4,20,22,20,20,16,18,6,21,19,3,22,7,20,19,20,22,22,18,4,18,16,8,4,10,5,19,6,6,6,8,10,20,6,3,20,24,16,17,20,20,4,14,16,2,4,19,18,15,10,4,8,24,22,6,20,10,24,10,8,28,2,7,18,2,2,20,28,26,21,6,4,8,8,20,27,21,3,2,4,7,22,6,17,18,22,24,26,5,24,5,24,26,10,6,24,3,6,4,16,,24,33,24,24,26,24,8,10,8,7,6,9,6,30,4,24,6,4,34,3,6,2,24,28,22,31,22,24,24,4,29,4,10,8,29,28,27,31,28,23,5,6,7,26,26,24,12,12,130,8,29,8,7,10,26,29,24,26,7,26,8,6,6,25,4,4,6,6,26,27,30,11,6,32,23,12,11,24,34,24,30,12,11,6,26,31,26,30,6,8,25,4,8,10,32,36,16,14,20,8,22,24,14,14,8,34,36,17
Farm0107,10,12,16,14,17,18,16,20,18,18,12,15,20,18,18,20,18,22,16,16,17,17,18,16,21,16,9,24,22,25,22,17,20,20,22,22,24,16,23,21,18,21,11,10,18,20,20,11,9,22,23,16,15,8,26,20,22,20,18,22,18,24,21,24,23,24,20,20,10,23,24,4,24,23,18,22,22,22,23,18,24,18,22,22,24,26,20,25,10,14,20,20,23,22,22,24,8,24,28,22,21,24,22,26,10,24,,29,10,20,26,20,22,27,26,26,25,27,22,24,26,21,28,24,30,22,25,26,20,24,20,28,10,23,8,26,26,25,30,26,26,24,24,28,26,6,24,24,26,23,12,22,30,31,150,26,24,25,30,28,23,26,0,24,29,22,26,24,26,22,26,24,25,26,12,23,26,26,25,28,10,30,28,22,30,21,26,32,28,25,23,28,24,26,26,27,24,26,26,30,28,33,36,30,39,27,20,24,35,33,26,32,32,37
Farm0108,18,19,25,20,24,28,24,27,24,24,20,14,29,24,25,28,26,29,23,23,24,24,24,20,30,24,22,31,30,32,30,24,30,30,31,30,30,24,32,30,16,28,24,22,24,10,32,20,21,30,32,22,14,22,34,30,32,28,26,32,18,34,18,32,32,30,28,30,24,30,34,27,6,30,16,31,32,30,33,16,32,16,31,32,34,34,26,34,23,14,28,28,30,30,30,34,28,31,36,32,14,34,32,34,23,33,29,,30,28,30,20,31,34,35,35,34,35,32,34,34,20,36,32,38,32,34,34,28,32,28,35,30,30,29,34,34,34,37,32,34,31,31,35,25,30,33,32,36,16,32,14,41,40,156,36,32,34,40,38,30,32,30,32,37,30,36,34,34,30,34,33,36,36,32,30,34,36,36,35,28,40,36,14,38,14,35,42,37,34,16,36,16,34,35,37,30,35,36,38,36,40,45,40,47,34,28,31,45,42,36,40,39,46
Farm0109,12,12,18,14,18,20,18,21,18,18,14,16,22,18,18,22,20,22,19,17,16,18,22,16,22,17,10,24,22,26,24,18,22,22,24,24,24,18,24,22,18,22,12,10,18,19,23,11,10,22,24,16,16,11,26,22,24,22,20,24,18,26,22,26,25,25,22,22,12,24,24,6,26,23,18,24,23,22,25,18,26,18,22,24,26,28,20,26,12,16,20,23,24,24,23,26,5,26,30,23,23,25,23,26,11,24,10,30,,22,24,22,23,28,28,28,26,27,25,25,26,22,28,26,30,25,26,26,22,26,22,30,3,24,4,28,26,26,30,24,26,25,26,28,28,3,26,25,28,24,8,21,32,31,152,28,27,26,32,30,24,27,10,26,29,25,27,26,26,23,26,25,28,26,6,24,28,26,28,29,3,30,27,21,32,22,28,34,28,26,24,30,24,28,27,28,24,26,28,32,28,34,38,32,39,28,22,24,36,34,26,34,33,39
Farm0110,10,10,17,14,16,20,16,18,16,17,12,14,21,16,16,22,18,23,16,6,16,16,18,14,22,16,14,26,22,26,22,16,22,22,24,25,25,16,24,22,16,20,16,14,16,18,24,13,14,22,24,12,14,13,28,22,24,1,19,22,18,26,20,26,24,23,22,23,16,23,25,18,22,22,16,24,23,23,24,15,24,16,23,24,26,27,19,26,15,14,2,20,22,22,20,26,20,24,28,23,20,25,23,27,14,24,20,28,22,,5,20,23,28,26,26,26,29,23,25,26,20,28,26,28,24,26,26,3,6,2,9,21,20,22,26,24,27,30,25,26,3,24,27,26,21,25,25,28,22,25,20,32,32,152,27,24,26,30,30,4,8,22,23,28,2,26,26,26,2,26,25,29,28,24,22,25,25,26,28,21,31,29,22,30,20,26,33,28,25,22,27,23,4,26,28,23,26,28,30,27,32,38,34,40,28,20,22,36,34,28,32,30,38
Farm0111,13,14,18,16,19,23,20,22,20,20,14,16,24,20,20,24,22,26,18,9,20,20,21,18,26,18,16,28,26,29,25,19,24,24,26,27,28,19,27,26,20,24,20,18,20,20,25,17,18,24,26,14,16,16,30,24,28,3,20,27,20,29,22,28,26,26,24,26,19,26,28,21,26,25,18,26,26,25,27,18,26,20,27,27,28,30,21,28,18,17,4,23,25,26,24,28,24,26,32,26,24,28,26,30,18,26,26,30,24,5,,22,26,30,30,30,29,32,26,27,30,22,32,28,31,28,28,28,4,10,5,12,24,24,24,30,30,30,33,28,28,9,26,30,28,24,27,28,31,25,28,23,36,36,154,28,26,29,34,32,8,4,26,27,32,8,30,28,29,6,29,28,31,31,26,24,26,30,30,30,24,35,32,23,34,22,29,36,32,28,26,30,26,10,30,32,26,30,30,34,30,34,38,36,42,31,22,25,39,38,32,36,34,41
Farm0112,10,10,16,14,16,20,16,17,16,16,13,6,22,16,16,21,18,24,16,16,16,16,18,14,22,15,12,24,22,26,22,16,22,22,24,24,24,16,24,22,4,20,16,15,16,10,22,14,15,22,24,14,6,14,27,22,24,19,19,22,9,26,12,27,24,24,22,22,16,23,26,18,16,22,4,24,23,23,24,4,23,4,24,24,26,28,20,26,16,5,19,20,22,24,20,24,22,24,30,24,11,24,23,25,16,24,20,20,22,20,22,,22,27,26,28,26,28,23,26,26,0,28,26,28,22,26,26,19,24,20,28,20,22,21,28,25,25,30,24,26,23,22,26,4,21,25,25,28,14,26,12,33,32,150,26,24,26,32,30,22,26,22,22,29,22,28,25,26,22,26,24,28,26,24,22,25,25,26,27,22,32,30,11,28,12,26,32,30,25,14,28,14,27,27,28,22,28,28,30,28,32,38,32,40,28,22,23,36,34,28,33,30,37
Farm0113,13,12,19,16,20,2,19,22,18,19,15,18,4,20,18,4,22,6,20,16,18,18,20,18,5,17,14,8,4,8,4,20,4,6,6,8,8,19,7,4,19,24,18,17,19,19,6,16,15,4,6,18,16,16,10,6,7,23,21,6,19,9,22,10,7,26,3,4,17,8,8,18,26,26,20,6,6,6,6,20,26,20,6,7,10,10,22,8,16,18,22,22,25,6,24,8,22,26,12,6,24,8,6,8,16,8,22,31,23,23,26,22,,10,10,11,10,12,6,28,9,24,12,8,32,7,8,10,22,26,24,30,22,24,22,10,28,10,12,8,28,26,25,30,28,22,8,9,11,24,26,22,14,15,134,8,28,8,14,13,25,28,24,26,13,26,10,8,10,24,8,10,11,10,25,25,28,4,10,30,22,12,10,23,33,23,28,16,12,11,26,30,26,28,10,12,26,10,11,14,30,34,20,16,23,13,22,24,20,18,11,35,34,21
